,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
55,Tata,Tiago,Revotron Xt,520000,1199.0,Petrol,35.0,23.0,84.796,46.63585177486978,27.0
56,Tata,Tiago,Revotron Xz,570000,1199.0,Petrol,35.0,23.0,84.796,46.63585177486978,27.0
57,Tata,Tiago,Revotron Xz Plus,599000,1199.0,Petrol,35.0,23.0,84.796,46.63585177486978,27.0
58,Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199.0,Petrol,35.0,23.0,84.796,46.63585177486978,27.0
59,Tata,Tiago,Revotron Xza,620000,1199.0,Petrol,35.0,24.0,84.796,43.63301247901515,27.0
60,Tata,Tiago,Revotron Xza Plus,649000,1199.0,Petrol,35.0,24.0,84.796,43.63301247901515,27.0
61,Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199.0,Petrol,35.0,24.0,84.796,43.63301247901515,27.0
62,Maruti Suzuki,Celerio X,Vxi (O),481074,998.0,Petrol,35.0,23.1,67.048,20.580834276497356,25.0
63,Maruti Suzuki,Celerio X,Vxi,475198,998.0,Petrol,35.0,23.1,67.048,20.580834276497356,18.0
64,Maruti Suzuki,Celerio X,Vxi Amt,518198,998.0,Petrol,35.0,23.1,67.048,20.580834276497356,18.0
65,Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998.0,Petrol,35.0,23.1,67.048,20.580834276497356,25.0
66,Maruti Suzuki,Celerio X,Zxi,499734,998.0,Petrol,35.0,23.1,67.048,31.580834276497352,18.0
67,Maruti Suzuki,Celerio X,Zxi (O),540350,998.0,Petrol,35.0,23.1,67.048,31.580834276497352,25.0
68,Maruti Suzuki,Celerio X,Zxi Amt,542735,998.0,Petrol,35.0,23.1,67.048,31.580834276497352,18.0
69,Maruti Suzuki,Celerio X,Zxi Amt (O),552350,998.0,Petrol,35.0,23.1,67.048,31.580834276497352,25.0
70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197.0,Petrol,32.0,20.89,81.838,47.67317171197962,26.0
