,Engine_Size_in_cc,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
0,624.0,2,24.0,23.6,374.68,660.0,29.26435578665569,3.5,292667
1,624.0,2,24.0,23.6,374.68,725.0,4.756197824177527,2.5,236447
2,624.0,2,15.0,19.90211704,374.68,710.0,13.759194626720529,2.5,296661
3,624.0,2,24.0,21.9,374.68,725.0,29.23275935358118,3.5,334768
4,624.0,2,24.0,23.6,374.68,725.0,13.759194626720529,2.5,272223
5,624.0,2,24.0,21.9,374.68,710.0,13.727598193646012,4.0,314815
6,799.0,3,28.0,25.17,53.244,990.467868338558,8.080860673771697,6.0,279650
7,799.0,3,28.0,25.17,53.244,990.467868338558,28.58768672400853,5.0,351832
8,799.0,3,28.0,25.17,53.244,990.467868338558,17.083857476314698,4.0,333419
9,799.0,3,28.0,25.17,53.244,990.467868338558,33.08918512528003,4.0,362000
10,999.0,3,28.0,22.5,67.048,990.467868338558,24.08618832273703,4.0,390000
11,999.0,3,28.0,23.0,67.048,990.467868338558,34.58968459237053,5.0,437065
12,799.0,3,28.0,25.17,53.244,669.0,17.24643026542877,10.0,353290
13,799.0,3,28.0,25.17,53.244,669.0,11.24443239706677,5.5,283290
14,799.0,3,28.0,25.17,53.244,669.0,29.750592491182932,11.0,383290
15,799.0,3,28.0,25.17,53.244,669.0,28.250542429508265,10.0,413290
16,999.0,3,28.0,23.01,67.048,669.0,38.75358929372594,11.0,433290
17,999.0,3,28.0,23.01,67.048,669.0,38.75358929372594,11.0,454490
18,999.0,3,28.0,24.04,67.048,669.0,42.75492120596727,11.0,463290
19,999.0,3,28.0,24.04,67.048,669.0,42.75492120596727,11.0,484490
20,999.0,3,28.0,23.01,67.048,669.0,38.75358929372594,11.0,440990
21,999.0,3,28.0,23.01,67.048,669.0,38.75358929372594,11.0,470990
22,999.0,3,28.0,23.01,67.048,669.0,40.25408876081644,11.0,462190
23,999.0,3,28.0,24.04,67.048,669.0,44.25542067305777,11.0,492190
24,1196.0,4,40.0,15.0,71.978,920.0,11.395171667030922,5.5,352136
25,1196.0,4,40.0,15.0,72.964,940.0,11.47470434422327,5.5,380573
26,1196.0,4,40.0,15.0,71.978,928.0,17.397169535392923,1.5,392967
27,1196.0,4,40.0,19.90211704,61.132,1050.0,23.399167403754923,5.5,466057
28,1196.0,4,40.0,19.90211704,61.132,1030.0,17.397169535392923,5.5,425255
29,998.0,3,35.0,24.07,67.048,745.0,16.963534695731276,7.0,377588
30,998.0,3,35.0,24.07,67.048,750.0,20.46470011894244,9.5,394036
31,998.0,3,35.0,24.07,67.048,740.0,16.963534695731276,7.0,360843
32,998.0,3,35.0,24.07,67.048,755.0,18.457293447886087,5.5,407238
33,998.0,3,35.0,19.90211704,58.174,740.0,16.963534695731276,3.0,439777
34,998.0,3,35.0,24.07,67.048,755.0,28.467363943425102,5.5,438559
35,1198.0,3,35.0,20.1,67.048,864.0,18.703428922260372,12.5,374990
36,1198.0,3,35.0,20.1,67.048,864.0,34.20859008219554,12.5,468229
37,1198.0,3,35.0,20.1,67.048,864.0,34.20859008219554,12.5,502492
38,1198.0,3,35.0,20.1,67.048,864.0,26.205926257712875,12.5,499990
39,1198.0,3,35.0,20.1,67.048,864.0,24.705426790622376,12.5,469990
40,1198.0,3,35.0,20.1,67.048,864.0,34.20859008219554,12.5,528464
41,1198.0,3,35.0,20.1,67.048,864.0,34.20859008219554,12.5,553015
42,1198.0,3,35.0,20.1,76.908,864.0,34.20859008219554,12.5,594464
43,1198.0,3,35.0,20.1,76.908,864.0,34.20859008219554,12.5,618015
44,998.0,3,35.0,23.1,67.048,830.0,17.12750662998891,7.5,422444
45,998.0,3,60.0,19.90211704,59.0,915.0,20.12850602815213,6.5,480670
46,1086.0,4,35.0,20.3,68.034,990.467868338558,18.95495149454071,11.0,429990
47,1086.0,4,35.0,20.3,68.034,990.467868338558,20.455450961631207,12.0,503990
48,1086.0,4,35.0,19.90211704,58.174,990.467868338558,20.455450961631207,12.0,547990
49,1086.0,4,35.0,20.3,68.034,990.467868338558,31.45911372029488,12.0,530990
50,1086.0,4,35.0,20.3,68.034,990.467868338558,35.46044563253621,12.0,512990
51,1086.0,4,60.0,19.90211704,58.174,990.467868338558,31.45911372029488,12.0,578990
52,1086.0,4,35.0,20.3,68.034,990.467868338558,31.45911372029488,12.0,570990
53,1086.0,4,35.0,20.3,68.034,990.467868338558,44.46344243507921,12.0,556490
54,1199.0,3,35.0,23.0,84.796,935.0,23.470831626142367,8.0,460000
55,1199.0,3,35.0,23.0,84.796,930.0,46.17210920082007,12.0,520000
56,1199.0,3,35.0,23.0,84.796,930.0,46.17210920082007,12.0,570000
57,1199.0,3,35.0,23.0,84.796,930.0,46.17210920082007,12.0,599000
58,1199.0,3,35.0,23.0,84.796,930.0,46.17210920082007,12.0,610000
59,1199.0,3,35.0,24.0,84.796,930.0,43.16716071250475,12.0,620000
60,1199.0,3,35.0,24.0,84.796,930.0,43.16716071250475,12.0,649000
61,1199.0,3,35.0,24.0,84.796,930.0,43.16716071250475,12.0,660000
62,998.0,3,35.0,23.1,67.048,810.0,20.12850556416991,10.0,481074
63,998.0,3,35.0,23.1,67.048,810.0,20.12850556416991,8.0,475198
64,998.0,3,35.0,23.1,67.048,810.0,20.12850556416991,8.0,518198
65,998.0,3,35.0,23.1,67.048,810.0,20.12850556416991,10.0,524074
66,998.0,3,35.0,23.1,67.048,810.0,31.13216832283357,8.0,499734
67,998.0,3,35.0,23.1,67.048,810.0,31.13216832283357,10.0,540350
